STCOU,POPESTIMATE2014,NPOPCHG2014,NATURALINC2014,INTERNATIONALMIG2014,DOMESTICMIG2014
39119,85818,122,48,41,99
39123,41154,-6,-135,11,81
39127,35812,-120,25,0,-135
39129,56876,410,88,11,322
39133,161882,459,40,305,175
39139,121942,-350,100,22,-391
39141,77159,-205,43,29,-252
39143,60179,-21,98,23,-136
39145,77258,-765,-18,15,-731
39147,55669,-87,-17,31,-59
39149,48951,-161,212,43,-395
39151,375736,514,196,235,263
39153,541943,156,640,821,-917
39155,205175,-1305,-337,14,-803
39157,92788,21,128,91,-132
39159,53776,396,271,53,100
39161,28462,-32,29,14,-61
39165,221659,2081,760,380,872
39167,61213,-180,-70,23,-117
39169,115537,393,446,67,-98
39173,129590,381,359,196,-196
40009,23691,143,123,13,5
40013,44486,269,119,20,119
40017,129582,3446,812,97,2468
40019,48821,166,56,26,94
40021,48341,368,131,12,226
40027,269908,18,1211,587,-1783
40031,125033,-2,841,408,-1242
40033,6150,-3,3,2,-10
40037,70632,-66,-6,10,-70
40039,29500,205,185,39,-17
40047,63091,582,312,250,61
40051,53854,219,117,45,57
40065,25998,-226,264,72,-576
40071,45478,-65,94,2,-123
40079,49761,-86,9,27,-146
40081,34619,280,66,0,192
40083,45276,875,117,16,719
40087,37313,797,132,13,634
40101,69966,-303,33,36,-388
40109,766215,10547,5643,1960,3331
40111,39095,-356,-18,7,-346
40113,47981,57,-110,17,161
40115,32105,-175,-27,22,-207
40117,16401,-126,23,3,-143
40119,80264,807,374,400,58
40121,44626,-247,-19,5,-241
40123,38005,-68,22,23,-89
40125,71811,621,114,39,485
40131,89815,632,202,34,401
40135,41358,51,4,-1,66
40137,44493,-484,30,9,-535
40139,21853,-220,259,132,-643
40143,629598,6632,3701,1104,2075
40145,75702,27,270,7,-228
40147,51937,370,-5,69,309
40153,21529,304,103,19,169
41003,86316,356,203,382,-208
41005,394972,6515,857,451,4958
41007,37474,353,26,40,295
41009,49459,202,29,18,182
41011,62475,42,-237,18,227
41013,20998,208,-49,3,264
41015,22335,36,-149,1,170
41017,170388,4433,403,-4,3686
41019,106972,162,-249,13,467
41027,22885,174,137,14,15
41029,210287,2196,144,79,1789
41033,83599,328,-293,7,659
41035,65455,-393,47,32,-471
41039,358337,2676,184,697,1820
41041,46406,106,-95,28,208
41043,119356,712,226,44,425
41045,30359,-265,154,6,-455
41047,326110,3882,1652,450,1595
41049,11187,-79,68,33,-196
41051,776712,10630,3665,2407,4728
41053,77916,1298,217,31,922
41059,76705,-163,483,22,-640
41061,25691,152,40,23,92
41065,25515,40,28,14,-2
41067,562998,7451,4106,1913,1485
41071,101758,921,303,103,479
42001,101714,257,43,59,118
42003,1231255,-1698,-512,2881,-3109
42005,67785,-325,-178,21,-115
42007,169392,-668,-353,35,-189
42011,413691,39,1146,1198,-2036
42013,125955,-424,-300,37,-186
42015,61784,-572,37,24,-614
42017,626685,229,166,947,-639
42019,185943,574,-109,111,547
42021,137732,-1168,-471,63,-669
42025,64441,-249,-206,6,-20
42027,158742,895,346,878,-271
42029,512784,3284,1690,1193,565
42033,81191,-398,-181,56,-204
42035,39745,-89,36,21,-126
42037,67122,-17,-47,86,-25
42039,87175,-236,3,14,-185
42041,243762,2494,434,586,1466
42043,271453,436,986,844,-1247
42045,562960,1116,1268,1794,-1616
42049,278443,-1317,378,442,-1996
42051,134086,-713,-498,28,-169
42055,152892,701,324,217,150
42061,45750,-121,-60,11,-39
42063,87706,-540,14,88,-589
42069,212719,-1115,-460,503,-1000
42071,533320,3198,2293,1213,-304
42073,88771,-535,-110,34,-402
42075,136359,652,206,394,52
42077,357823,2055,864,1561,-252
42079,318829,-1033,-914,614,-461
42081,116508,-224,-9,74,-224
42083,42554,-234,-137,15,-96
42085,114884,-429,-300,31,-146
42087,46552,-149,75,17,-207
42089,166314,-816,-30,197,-942
42091,816857,3025,1457,2359,-512
42093,18641,106,11,79,10
42095,300654,907,250,648,133
42097,93944,-194,-86,68,-97
42099,45634,13,124,24,-107
42101,1560297,4245,8277,8468,-12596
42103,56191,-423,-46,35,-384
42107,145797,-1001,-505,76,-506
42109,40323,230,134,38,89
42111,76218,-504,-255,17,-208
42119,44874,155,17,55,102
42121,53529,-379,-86,14,-293
42123,40703,-241,-102,8,-120
42125,208187,-7,-498,73,506
42129,359320,-1760,-1296,68,-277
42131,28131,-11,-31,13,28
42133,440755,1362,1119,592,-53
44001,49060,-203,-155,37,-51
44003,165128,205,-114,200,253
44005,82358,-99,15,244,-333
44007,631974,1803,1801,3652,-3419
44009,126653,113,-172,157,163
45001,24965,-43,-1,19,-50
45003,164753,459,110,171,193
45007,192810,2056,234,188,1572
45013,175852,4283,676,531,2750
45015,198205,4324,1356,340,2433
45017,14878,-200,-40,0,-154
45019,381015,8102,1785,489,5578
45021,56024,281,100,6,211
45023,32337,-264,4,-4,-255
45031,67799,-147,-22,40,-114
45035,148469,3182,905,190,1989
45037,26553,245,96,2,162
45039,22976,-167,-58,13,-106
45041,139231,797,353,93,360
45043,60773,253,-141,27,383
45045,482752,8529,2299,1057,4971
45047,69520,-169,141,40,-356
45051,298832,9305,159,426,7649
45053,27170,460,88,89,169
45055,63161,557,32,42,485
45057,83160,2640,130,22,2248
45059,66533,326,-55,31,356
45063,277888,4284,1071,444,2624
45069,27924,-75,-25,5,-42
45071,37783,215,15,62,142
45073,75192,279,-84,14,373
45075,90090,-636,12,41,-632
45077,120368,1146,69,239,848
45079,401566,3673,1904,1048,743
45081,20026,-74,58,8,-123
45083,293542,2724,744,214,1777
45085,107919,-83,523,137,-701
45087,27876,-106,-70,-1,-21
45091,245346,5931,1135,200,4355
46005,18169,-130,151,138,-432
46011,33314,227,221,104,-88
46013,38408,246,140,116,12
46027,13932,-5,69,9,-91
46029,27938,83,160,14,-70
46033,8445,21,-3,0,21
46035,19885,46,92,25,-55
46045,3983,-52,9,0,-58
46061,3419,12,40,0,-43
46065,17642,176,90,4,81
46081,24657,-242,43,1,-295
46083,51548,1662,625,11,959
46087,5649,2,5,10,-25
46093,26951,384,158,56,175
46099,182882,3158,1608,730,805
46103,108242,1870,760,71,932
46117,2983,-1,28,0,-36
46119,1438,-26,7,10,-47
46125,8272,-93,-2,1,-93
46127,15029,225,77,3,143
46135,22684,20,73,-2,-42
47001,75528,34,-42,59,72
47003,46627,778,214,123,448
47009,126339,1294,88,81,1065
47011,102975,1102,227,121,746
47013,39918,-277,-140,-2,-100
47015,13757,-40,25,10,-74
47019,56886,-445,-205,21,-219
47021,39764,307,98,22,186
47023,17379,25,32,13,-23
47029,35374,20,-63,30,83
47031,53623,307,23,20,278
47033,14668,55,22,6,39
47035,57985,493,-193,16,675
47037,668347,9305,4585,2772,2140
47043,50575,392,118,0,276
47045,37935,-225,55,17,-272
47047,39011,239,25,1,166
47051,41402,105,-17,6,134
47057,22864,170,-35,7,200
47059,68335,100,-242,37,330
47063,63036,-42,104,62,-180
47065,351220,2190,799,564,988
47073,56735,-96,-105,5,25
47079,32204,33,-155,16,178
47081,24384,177,20,8,145
47087,11568,17,-34,-2,50
47089,52677,381,-81,26,405
47093,448644,4294,1211,611,2480
47099,42274,301,70,11,254
47105,50771,333,31,26,275
47107,52626,263,-46,50,301
47111,23003,345,56,43,248
47113,98178,-573,374,61,-979
47115,28407,54,-24,2,92
47117,31269,171,37,17,131
47119,85515,1915,217,89,1497
47125,189961,5232,2309,700,2177
47127,6319,6,1,0,8
47129,21660,-12,-47,1,41
47131,30941,-159,-41,1,-104
47133,22028,-11,-76,4,53
47139,16730,66,-51,-1,91
47141,74165,612,169,142,309
47143,32641,126,5,19,126
47145,52748,-223,-208,8,21
47147,68079,791,335,28,390
47149,288906,7533,2021,429,4795
47153,14704,80,-51,-4,119
47155,95110,1417,122,224,1017
47157,938803,-562,5715,1661,-7761
47159,19009,-52,6,0,-51
47163,157047,353,-182,27,649
47165,172706,3592,481,115,2821
47167,61623,59,167,26,-152
47169,8002,196,11,3,185
47171,17963,-114,-100,15,-16
47173,19113,21,47,-4,-22
47177,39969,103,22,21,69
47179,126242,681,202,77,409
47183,34373,-51,-2,7,-39
47187,205226,6251,1002,399,4669
47189,125376,3360,422,121,2656
48001,57627,-307,-72,17,-227
48003,17477,669,249,15,405
48005,87750,137,324,23,-195
48007,24972,743,-75,33,738
48009,8811,61,9,2,57
48011,1955,-2,8,5,-15
48013,47774,689,246,-2,454
48015,29114,303,85,38,198
48019,20892,285,-35,7,324
48021,78069,1970,273,45,1601
48025,32863,90,165,15,-73
48027,329140,2508,4228,1221,-2954
48029,1855866,33712,14412,4472,14824
48037,93275,-167,277,50,-465
48039,338124,7454,2484,641,4235
48041,209152,4531,1661,1497,1262
48049,37653,-255,-26,32,-244
48051,17253,90,5,9,86
48055,39810,562,181,15,354
48057,21797,12,75,24,-84
48059,13513,-5,-37,5,34
48061,420392,2175,4772,739,-3327
48065,6013,27,-7,0,32
48071,38145,930,244,33,652
48073,50902,-63,238,14,-306
48077,10370,-66,-20,0,-42
48085,885241,26530,6732,3822,15198
48091,123694,4803,447,124,3961
48097,38761,286,128,30,140
48099,75562,-909,564,379,-1920
48107,5899,-93,14,2,-108
48113,2518638,32555,23276,11831,-1661
48115,13372,99,62,7,38
48117,19195,8,174,48,-208
48121,753363,24211,6352,2385,14625
48135,153904,4382,1734,52,2544
48139,159317,3119,826,91,2109
48141,833487,2163,8569,2147,-8354
48143,40147,144,169,22,-49
48145,16989,-303,39,6,-367
48157,685345,30784,5766,4125,19767
48167,314198,6733,1459,701,4383
48171,25520,186,-99,23,228
48173,1291,46,6,2,35
48175,7549,80,10,0,58
48179,23044,115,116,7,-8
48181,123534,1191,207,145,841
48183,123204,10,631,210,-817
48187,147250,4059,838,150,2927
48189,34720,-1089,210,34,-1340
48199,55621,200,171,26,24
48201,4441370,88618,43820,25056,21336
48203,67336,151,190,70,-71
48209,185025,8542,1322,179,6654
48213,79290,672,-121,28,783
48215,831073,12131,12060,1945,-1972
48219,23577,57,160,38,-141
48221,53921,1024,-1,46,907
48223,35921,422,94,15,290
48227,36651,374,128,75,127
48229,3211,-95,31,2,-136
48231,88493,961,166,125,703
48233,21773,-59,99,7,-170
48235,1574,-35,9,0,-52
48245,252235,-579,970,540,-2058
48249,41353,-316,257,2,-594
48251,157456,2504,748,178,1588
48253,19936,-132,13,16,-160
48257,111236,2715,620,87,1907
48259,38880,1411,25,63,1193
48261,400,-15,7,0,-29
48265,50562,630,-191,46,712
48273,32190,41,258,124,-339
48277,49523,203,-22,10,206
48281,20156,-23,57,24,-102
48291,78117,1084,311,59,715
48303,293974,3914,1669,452,1768
48305,5771,63,46,2,-5
48309,243441,1634,1402,286,59
48317,5460,169,70,2,96
48321,36519,-18,158,8,-166
48323,57023,513,762,117,-366
48325,47894,528,125,31,392
48329,155830,3881,1657,110,1990
48339,518947,19129,3307,1576,13597
48341,22148,-75,280,218,-581
48347,65301,111,325,110,-359
48349,48195,62,173,31,-151
48351,14138,-71,-37,6,-40
48353,15093,16,27,4,-33
48355,356221,3259,2160,675,554
48359,2070,-30,14,0,-47
48361,83433,453,210,26,266
48363,28096,172,65,12,90
48367,123164,2957,368,64,2388
48375,121627,-519,891,515,-1904
48381,128220,1576,675,162,757
48389,14349,272,79,31,156
48395,16500,39,54,12,-27
48397,87809,2519,511,143,1697
48401,53923,-50,127,23,-187
48409,66915,658,391,47,188
48415,17328,61,108,2,-54
48423,218842,2172,1054,263,840
48425,8694,70,7,3,46
48427,62955,565,974,94,-498
48439,1945360,31417,16011,5975,9523
48441,135143,1277,720,270,264
48449,32506,-148,245,37,-437
48451,116608,1653,524,169,1011
48453,1151145,28397,10835,5205,12343
48455,14224,-177,-85,-3,-81
48459,40354,564,74,52,463
48463,27117,201,146,37,27
48465,48974,-85,518,123,-718
48469,91081,958,549,87,332
48471,69789,337,66,108,191
48473,46820,1336,300,54,967
48477,34438,269,45,32,179
48479,266673,2901,4246,719,-1984
48481,41168,-47,135,25,-179
48485,132355,12,456,351,-800
48487,12973,-181,41,9,-227
48489,21903,-50,145,14,-216
48491,489250,18025,3964,1030,12107
48493,46402,964,172,10,743
48497,61638,635,259,23,373
48505,14319,-37,177,1,-215
49003,51518,654,543,38,78
49005,118343,1017,1874,331,-1224
49007,20660,-271,107,18,-393
49011,329692,6938,4354,466,2212
49021,47269,563,537,42,10
49023,10486,159,99,2,47
49029,10608,410,130,9,274
49035,1091742,10876,12072,3178,-3851
49043,39105,652,299,77,285
49045,61598,880,690,31,147
49047,36867,1177,514,4,649
49049,560974,9048,9913,861,-1701
49051,27714,1151,313,27,807
49053,151948,4229,1094,69,2655
49057,240475,2053,2395,204,-460
50003,36445,-247,-90,30,-182
50007,160531,713,602,428,-275
50009,6125,-71,-6,0,-65
50011,48642,370,219,31,140
50013,6994,12,9,4,-2
50017,28859,-20,19,12,-58
50021,60086,-459,-82,12,-353
50023,58998,-223,34,23,-270
50027,56014,-159,-40,47,-124
51003,104489,1475,280,418,683
51007,12855,128,25,21,69
51009,32041,-152,-46,4,-101
51011,15279,49,32,0,22
51013,226908,896,2247,2381,-3901
51015,73862,27,-93,15,113
51019,76583,843,-118,30,888
51023,33100,71,-89,4,159
51029,16913,-214,24,4,-235
51031,54885,34,-24,36,55
51033,29778,493,141,13,308
51036,7023,-83,-23,0,-65
51041,332499,4607,1608,694,2249
51043,14423,75,11,8,67
51045,5234,38,-15,0,47
51047,49166,678,277,27,361
51051,15308,-141,-30,5,-108
51053,27859,-67,-19,21,-51
51059,1137538,3115,9819,10518,-18036
51061,68248,1015,172,22,782
51063,15578,50,-12,14,58
51065,26092,176,63,8,98
51067,56358,-30,-73,18,65
51069,82377,1120,340,33,692
51071,16815,-124,-22,11,-116
51073,37141,293,-32,27,258
51075,21936,297,3,5,280
51079,19031,192,85,12,104
51085,101918,720,108,71,507
51087,321924,2981,1396,1564,70
51089,52081,-446,-231,65,-250
51093,36007,364,-20,25,332
51095,72583,1619,110,182,1236
51101,16186,83,74,6,5
51107,363050,12091,3909,2403,5618
51115,8836,-86,-45,9,-45
51121,97244,548,349,616,-372
51125,14850,61,-20,5,91
51127,20021,539,65,14,443
51143,62383,-164,-183,36,35
51145,28449,208,27,7,164
51149,37333,30,100,130,-190
51153,446094,5928,5213,2463,-1648
51155,34322,-190,-78,4,-82
51157,7361,-92,-9,-1,-78
51161,93785,91,-97,222,-10
51165,78171,456,109,79,239
51169,22384,-248,-100,5,-146
51177,129188,1492,721,215,498
51179,139992,3004,1061,333,1527
51183,11767,-41,-35,9,-11
51185,43452,-655,-162,4,-471
51187,38987,380,147,1,242
51191,54729,-34,-5,17,-11
51195,39935,-685,-38,4,-652
51199,66342,398,160,175,70
51510,150575,1263,2057,1893,-2780
51520,17184,-252,-148,10,-101
51540,45593,500,313,439,-270
51550,233371,2940,1172,374,1400
51570,17731,23,85,27,-84
51590,42444,-326,-96,16,-260
51600,24483,289,383,175,-277
51610,13601,132,132,110,-112
51630,28350,488,234,144,58
51650,136879,-69,625,238,-876
51660,52478,960,381,369,181
51670,22196,-13,74,27,-118
51680,79047,337,384,313,-358
51683,42081,356,608,390,-678
51685,15174,-235,-18,95,-322
51690,13711,-37,-2,6,-37
51700,182965,950,1475,793,-1233
51710,245428,-52,1734,1238,-2985
51720,4031,14,26,6,-19
51730,32701,108,241,80,-197
51735,12048,-77,6,8,-87
51740,96004,-170,495,130,-771
51750,17646,369,82,117,167
51760,217853,3149,986,927,1065
51770,99428,613,347,407,-94
51775,25483,201,6,64,141
51790,24538,220,13,27,157
51800,86806,1057,374,62,586
51810,450980,1672,3202,1794,-3265
51820,21366,116,99,11,12
51830,14691,-54,-20,99,-131
51840,27543,46,120,100,-168
53001,19179,106,279,30,-210
53003,22189,85,9,-1,68
53005,186486,2033,1307,215,489
53007,74588,551,275,72,210
53009,72715,465,-285,74,597
53011,451008,7696,2173,683,4440
53013,3985,-51,-10,1,-42
53015,102133,404,84,24,347
53017,39804,345,206,33,96
53021,87809,1195,1209,148,-149
53025,93147,1063,903,133,81
53027,70818,-183,-16,55,-171
53029,79275,686,230,261,144
53033,2079967,33011,12797,13994,7040
53035,254183,978,801,374,-274
53037,42522,741,138,79,530
53041,75128,26,55,46,-152
53045,60711,190,36,80,125
53051,12985,61,-21,1,80
53053,831928,11709,4909,2265,4336
53057,120365,1623,342,126,1046
53059,11340,85,28,8,57
53061,759583,13137,4347,2666,6024
53063,484318,4991,1767,736,2306
53065,43650,217,8,50,199
53067,265851,3290,1147,642,1467
53071,59844,207,122,78,-14
53073,208351,2103,739,343,1021
53075,46827,69,249,344,-516
53077,247687,390,2114,141,-1787
54003,110497,1813,477,88,1271
54005,23714,-373,-48,-1,-312
54009,23530,-176,-134,6,-53
54011,97109,-72,161,139,-308
54015,8941,-261,0,-2,-268
54017,8391,-26,-1,2,-46
54019,45132,-435,-167,14,-257
54027,23483,16,-23,-3,27
54029,30112,-117,-122,-5,27
54033,68761,-165,-85,22,-126
54037,55713,752,133,126,481
54039,190223,-1171,-261,73,-832
54043,21561,41,-27,1,63
54045,35348,-633,-71,-1,-576
54049,56803,45,-57,37,105
54051,32416,-164,-42,1,-107
54053,27016,-130,-49,-4,-115
54055,61785,-125,-129,31,16
54057,27578,-129,-46,-3,-90
54061,103463,1246,420,344,503
54069,43328,-400,-69,28,-335
54077,33788,80,-18,4,80
54079,56770,184,2,17,132
54081,78241,-388,-65,78,-401
54083,29429,-137,-30,6,-112
54091,17069,77,-5,0,86
54099,41122,-403,-110,18,-284
54105,5845,-30,19,6,-60
54107,86237,-163,-159,9,47
55009,256670,1905,1733,405,-111
55015,49491,-153,220,18,-387
55017,63460,261,188,24,92
55021,56615,2,105,11,-118
55025,516284,6257,3160,1614,1590
55027,88574,175,-39,58,172
55031,43698,-98,9,16,-106
55033,44305,84,144,24,-128
55035,101564,-140,490,72,-691
55037,4481,-36,-24,0,-15
55039,101759,111,219,85,-148
55043,51829,709,61,22,643
55045,37063,-23,51,38,-96
55049,23825,85,92,8,-8
55055,84395,-215,229,68,-467
55059,168068,547,672,89,-131
55061,20444,-30,-1,6,-42
55063,118011,681,285,150,249
55069,28493,-183,-28,2,-134
55071,80160,-463,23,44,-482
55073,135780,415,521,119,-186
55075,41298,-199,-58,12,-116
55078,4522,140,30,22,73
55079,956406,20,5892,2046,-7837
55083,37417,83,-25,3,133
55087,182006,1781,1037,178,615
55089,87470,375,59,56,202
55093,40958,225,130,-2,108
55097,70482,-105,196,45,-324
55101,195163,241,802,159,-626
55105,161188,555,530,54,42
55109,86759,851,432,19,373
55111,63379,316,157,86,31
55115,41579,-15,43,20,-65
55117,115290,422,212,100,127
55127,103527,448,142,70,249
55131,133251,505,255,56,219
55133,395118,1178,617,363,299
55139,169511,151,477,84,-404
55141,73608,-336,106,32,-426
56001,37811,237,233,121,-131
56005,48320,110,466,28,-377
56013,40703,-349,129,7,-472
56021,96389,374,504,102,-172
56025,81624,481,470,43,19
56033,30032,196,23,33,107
56037,45010,-195,364,13,-586
56039,22930,555,183,46,318
56041,20904,-127,182,-8,-307
